CustID,WarehouseID,UnitID,DateIn,DateOut
2,OR-1,4,2016-01-04,
2,OR-1,5,2016-01-04,
4,WY-1,3,2016-02-15,
6,WA-1,5,2016-01-01,
7,WY-1,6,2016-01-15,
7,WY-1,11,2016-01-15,
9,WA-1,10,2016-02-15,
10,OR-1,6,2016-02-01,
10,OR-1,7,2016-02-01,
10,OR-1,8,2016-02-15,
11,WY-1,2,2016-01-15,
12,WA-1,2,2016-02-15,
12,WA-1,6,2016-02-01,
13,WY-1,4,2016-02-01,
13,WY-1,5,2016-02-01,
14,WA-1,4,2016-02-15,
15,WA-1,3,2016-02-20,
17,WY-1,9,2016-02-01,
18,WA-1,7,2016-02-01,
20,WA-1,6,2016-01-15,
26,OR-1,2,2016-02-01,
27,WA-1,8,2016-02-01,
31,WY-1,8,2016-02-20,
32,WA-1,9,2016-01-05,
36,OR-1,10,2016-02-15,
38,WY-1,10,2016-01-15,
